source,target,n
1761,913,3
247,913,2
1216,913,4
662,913,4
481,1602,2
692,1602,2
1287,667,2
1557,667,2
631,667,2
113,1605,4
573,1605,2
1131,1605,3
1324,1605,6
817,1605,2
1330,1606,2
706,1606,2
20,1617,4
27,1617,2
50,1617,13
57,1617,14
59,1617,17
97,1617,4
142,1617,2
144,1617,2
207,1617,6
320,1617,10
439,1617,3
493,1617,5
964,1617,2
973,1617,2
994,1617,29
1022,1617,2
1071,1617,2
1216,1617,2
1324,1617,9
656,1617,3
792,1617,2
806,1617,2
907,1617,2
894,1619,2
329,1621,3
1084,1621,6
1512,1621,2
1523,1621,4
573,1630,2
1314,1630,6
1324,1630,2
235,1631,2
121,1632,5
359,1632,2
1324,1632,8
793,1632,5
803,1632,4
811,1632,2
817,1632,2
121,1633,2
214,1633,14
1206,1633,2
1324,1633,2
784,1633,8
817,1633,2
873,1633,6
499,1639,2
975,1639,2
1130,1639,2
1145,1639,3
1324,1639,22
1462,1640,2
434,1641,2
1578,1641,2
1,1645,2
242,1645,2
15,1647,2
1490,1647,2
771,1655,2
141,1666,2
1287,1666,6
1324,1666,2
1557,1666,2
631,1666,9
667,1666,4
1100,1698,2
687,1698,2
1131,1676,3
1324,1676,8
1505,1676,8
7400,1676,4
905,1676,16
264,1677,5
405,1677,2
1324,1677,5
717,1677,18
905,1677,7
1100,1680,3
687,1680,2
1698,1680,2
680,797,2
752,797,4
999,1685,2
620,1685,2
191,1686,2
1030,1686,2
1462,1686,2
1465,1686,2
842,1686,2
1640,1686,2
1324,799,3
232,1688,2
994,1688,5
219,1689,2
1324,1689,11
905,1689,2
905,1687,4
23,1692,2
641,1692,5
463,1692,3
994,1692,35
1324,1692,19
903,1692,2
20,1693,3
97,1693,2
144,1693,4
994,1693,2
113,804,9
121,804,8
1324,804,2
1463,804,6
808,804,3
817,804,8
994,1705,2
1340,1705,2
1324,815,8
1349,815,2
58,1710,2
335,1710,3
463,1710,11
914,1710,7
973,1710,2
1206,1710,15
1262,1710,2
1317,1710,3
1324,1710,32
1496,1710,2
616,1710,2
682,1710,37
330,1712,2
994,1715,3
1324,1715,4
1504,1715,2
7400,1715,2
905,1715,6
905,1716,3
719,1721,4
585,893,2
496,893,2
505,893,2
1324,893,11
1349,893,2
1681,893,2
815,893,10
61,1727,3
197,1727,4
537,1727,8
1062,1727,7
1206,1727,2
1324,1727,86
682,1727,25
840,1727,8
1710,1727,2
1324,1728,2
236,1730,7
1324,1730,22
2516,1730,5
791,1730,2
1085,1730,13
853,1730,6
1479,1731,2
756,1731,2
1314,1734,2
1324,1734,2
118,1735,8
994,1735,3
1324,1735,5
1512,1735,4
873,1735,2
853,822,2
38,1751,2
57,1751,2
61,1751,2
66,1751,2
113,1751,8
118,1751,5
121,1751,10
207,1751,3
214,1751,11
228,1751,4
252,1751,2
290,1751,2
318,1751,13
589,1751,5
463,1751,8
490,1751,3
537,1751,4
914,1751,2
921,1751,2
973,1751,2
994,1751,22
1046,1751,2
1206,1751,4
1209,1751,4
1216,1751,6
1324,1751,49
1463,1751,2
1512,1751,7
1531,1751,2
1559,1751,2
1571,1751,3
622,1751,2
682,1751,8
645,1751,2
784,1751,4
803,1751,2
808,1751,12
817,1751,5
840,1751,4
872,1751,7
873,1751,4
1617,1751,2
1632,1751,3
1633,1751,9
804,1751,8
1710,1751,5
1727,1751,4
1735,1751,3
905,1760,8
719,1756,3
905,1756,2
1721,1756,2
512,1767,2
1324,1767,4
1493,1767,2
1542,1767,3
895,1767,7
141,919,2
1287,919,6
1324,919,2
1557,919,2
631,919,8
667,919,4
1666,919,14
79,1769,2
1324,1769,3
630,1769,2
911,1770,2
1374,1772,2
1545,1772,2
1144,1776,3
1281,1776,2
68,1778,2
537,1778,3
21,1782,2
58,1782,2
1057,1782,2
1197,1782,2
1201,1782,2
1402,1782,2
12,1784,2
23,1784,4
641,1784,2
57,1784,2
575,1784,2
463,1784,4
1324,1784,2
1692,1784,3
1065,1785,2
1224,1788,2
1018,1789,2
1154,1789,2
744,1789,2
242,1790,6
1206,1790,3
1305,1790,7
1475,1790,5
658,1790,8
1761,1793,3
247,1793,2
1216,1793,4
662,1793,4
913,1793,4
1,1795,3
47,1795,4
351,1795,2
982,1795,4
19,1795,3
1074,1795,2
1324,1795,10
682,1795,2
658,1795,3
1790,1795,2
19,1797,2
413,1799,2
1333,1799,2
1305,1823,5
771,1823,2
487,1803,4
502,1803,2
1216,1803,2
1324,1803,3
616,1803,2
682,1803,25
69,1808,2
58,1811,3
905,1812,5
337,1813,2
1012,1813,2
1262,1813,2
1324,1813,6
682,1813,14
645,1813,2
1710,1813,2
1803,1813,5
1347,1814,2
192,1815,3
264,1815,2
405,1815,3
718,1815,4
1760,1815,2
253,1816,2
1,1820,5
58,1820,2
242,1820,2
463,1820,2
1305,1820,7
1324,1820,18
682,1820,4
645,1820,4
658,1820,2
1751,1820,3
1790,1820,9
1795,1820,2
58,1830,12
984,1830,5
1324,1830,7
1407,1830,2
248,1831,3
1487,1831,2
1552,1831,2
285,1834,2
312,1834,2
349,1834,2
1049,1834,2
253,1835,2
1816,1835,2
1006,1836,2
1487,1837,2
1552,1837,2
1831,1837,2
59,1839,2
38,1841,3
59,1841,4
318,1841,2
66,1934,2
442,1849,2
1077,1849,2
672,1849,2
770,1849,2
1324,1866,3
853,1866,2
84,1870,2
598,1870,2
1206,1877,2
1317,1877,9
1496,1877,2
1548,1877,2
1710,1877,4
1843,1877,2
221,1878,3
994,1878,2
1328,1880,2
726,1880,2
744,1880,2
1216,1881,2
612,1881,2
1326,1882,2
1328,1882,2
726,1882,2
744,1882,2
1880,1882,2
534,1885,4
730,1885,4
209,150,2
1324,1894,2
1317,1895,2
1496,1895,3
1548,1895,4
1877,1895,2
1065,1889,2
1820,1889,2
1035,1896,2
857,1896,2
940,1897,3
1134,1897,2
23,1990,2
641,1990,4
1692,1990,4
1784,1990,2
478,1908,3
1469,1908,3
72,1909,2
877,1909,2
1460,1921,2
266,1923,2
1218,1923,2
195,1927,2
1026,1927,2
337,1928,9
463,1928,6
914,1928,3
994,1928,3
1062,1928,2
1206,1928,34
1262,1928,13
1276,1928,4
1305,1928,4
1317,1928,7
1324,1928,14
1496,1928,3
1512,1928,2
1548,1928,2
682,1928,11
645,1928,3
708,1928,3
1710,1928,20
1727,1928,4
1790,1928,3
1877,1928,11
1895,1928,2
118,1930,2
236,1930,5
1324,1930,13
1512,1930,5
682,1930,2
1751,1930,4
1324,1933,10
306,1679,2
1722,1679,4
1836,1679,2
905,1937,7
1812,1937,3
994,1938,2
1324,1938,3
7400,1938,3
719,1938,2
905,1938,6
1715,1938,5
1721,1938,2
1756,1938,2
905,1939,6
1812,1939,2
1937,1939,3
719,1940,4
1721,1940,3
719,1943,4
905,1943,3
1721,1943,3
1940,1943,8
285,1944,2
1308,1944,2
1566,1944,2
1025,1945,2
576,1946,2
1342,1946,2
573,1948,2
331,1951,2
592,1951,2
330,1959,2
192,1971,4
264,1971,2
405,1971,3
718,1971,4
1815,1971,3
442,1974,2
1077,1974,2
1146,1974,2
770,1974,2
827,1974,3
1058,1977,2
620,1978,2
1685,1978,2
576,1980,2
1342,1980,2
1946,1980,2
418,1981,2
1422,1981,2
853,1989,2
1324,1991,4
905,1991,2
119,1993,2
1266,1996,2
1751,1996,2
994,1999,3
1692,1999,5
105,2001,2
994,2001,2
164,2003,2
198,2003,2
1324,2003,2
1524,2003,2
1,2004,3
